Date,AIWFC,Christmas,MariahCarey,Memes,Days,Days_Sin,Days_Cos,Days_SinCos,Days_Sin2,Days_Cos2,iter1,final_pred
2020-11-08,18,22,22,70,728,-0.03442161162274694,0.9994074007397047,-0.03440121340116113,0.0011848473467072273,0.9988151526532927,0.6390851263926762,32.70909986994661
2020-11-15,25,28,23,63,735,0.08596479873744685,0.9962981749346077,0.08564657209073917,0.007389946621969744,0.9926100533780302,0.6363981560321457,34.33400227296465
2020-11-22,30,40,27,62,742,0.2051044998686194,0.9787400799669151,0.20074399460298667,0.042067855866356495,0.9579321441336435,0.7222908352182079,35.508995364058734
2020-11-29,47,52,52,60,749,0.3212696616923645,0.9469877530760753,0.3042384350575631,0.10321419552392633,0.8967858044760738,1.3653019021116275,36.17947656490825
2020-12-06,54,50,46,61,756,0.432775592550431,0.9015016841318841,0.39014792553538763,0.1872947135073767,0.8127052864926234,1.2033923598163982,36.31433679276209
2020-12-13,66,54,43,59,763,0.5380051715382993,0.842941537354783,0.4535069064013178,0.28944956460195487,0.7105504353980451,1.1378560842443486,35.90763680279162
2020-12-20,83,100,63,59,770,0.6354323008901783,0.7721565844991635,0.49065323513580483,0.4037742090145861,0.5962257909854137,1.711809366008632,34.97892933253784
2020-12-27,16,14,50,61,777,0.7236440382959118,0.6901733882429725,0.4994398577925168,0.5236606941612151,0.4763393058387848,1.4160017412278747,33.572207906141585
2021-01-03,4,6,18,60,784,0.801361088174676,0.5981809144059171,0.4793589084936485,0.6421795936405008,0.3578204063594992,0.5391904411033775,31.753539788597937
2021-01-10,3,3,14,61,791,0.8674563547295963,0.49751328890718166,0.43157106402495626,0.7524805273607591,0.24751947263924082,0.449998402153858,29.60751413124743
2021-01-17,2,2,14,71,798,0.9209712877166341,0.38963044953078924,0.35883845683798193,0.8481881127984352,0.1518118872015649,0.48952989114780177,27.232702691292587
2021-01-24,2,2,13,65,805,0.9611297838723003,0.2760969730974704,0.265365024080968,0.9237704614464147,0.07622953855358529,0.5007709139099245,24.73638590058351
2021-01-31,2,2,17,55,812,0.9873494423939864,0.15855938510313458,0.15655352046791327,0.9748589213957158,0.025141078604284137,0.7292664589693639,22.228838360735292
2021-02-07,2,2,17,62,819,0.9992500112396835,0.03872228089217473,0.03869323961673178,0.9985005849625076,0.00149941503749248,0.8186672150623046,19.817492687827222
2021-02-14,1,2,15,63,826,0.9966589017541702,-0.08167639533042215,-0.08140350646925797,0.9933289664458286,0.006671033554171405,0.8140227806752385,17.601307568250306
2021-02-21,1,2,15,53,833,0.9796136916454902,-0.20089055513063456,-0.19679513832823278,0.9596429848593055,0.04035701514069452,0.9154715805549914,15.665654464686254
2021-02-28,2,2,15,54,840,0.9483615800121713,-0.3171912885891069,-0.300812031612462,0.899389686443182,0.10061031355681808,1.019745701872875,14.078008205187272
2021-03-07,1,1,13,54,847,0.9033558023246842,-0.42889193791248426,-0.38744202068352085,0.8160517055936738,0.18394829440632626,0.9666691116309359,12.884681280830618
2021-03-14,1,1,13,50,854,0.8452490573530629,-0.5343725582809794,-0.4516779011623425,0.7144459689562414,0.2855540310437587,1.0297762479082284,12.108782572427412
2021-03-21,1,1,14,50,861,0.7748840413670416,-0.6321034111873476,-0.48980684582274475,0.6004452775653191,0.39955472243468104,1.1442591162786044,11.749511715468033
2021-03-28,1,1,14,55,868,0.6932812268869787,-0.72066714955386,-0.49962500561984186,0.48063885955391444,0.5193611404460856,1.142441889172162,11.782824293150828
2021-04-04,1,1,14,53,875,0.601624063224924,-0.7987793728863638,-0.4805648919361509,0.36195151345126736,0.6380484865487326,1.1081254440358612,12.16342480945172
2021-04-11,1,1,17,54,882,0.5012418134457758,-0.865307254363206,-0.4337281773647986,0.2512433555464099,0.74875664445359,1.2775851121841595,12.827968378663112
2021-04-18,1,1,14,55,889,0.3935902766564672,-0.9192859697186103,-0.36182201914795653,0.15491330587851437,0.8450866941214857,0.9865760836520604,13.699282616540287
2021-04-25,1,1,13,53,896,0.2802306751992168,-0.9599326896597443,-0.26900258576915037,0.07852923132260894,0.921470768677391,0.8554635990812335,14.691362326830848
2021-05-02,1,1,17,54,903,0.16280701293851763,-0.9866579328916569,-0.16063483084618305,0.026506123461962645,0.9734938765380374,1.0473601181468835,15.714844665244522
2021-05-09,1,2,15,51,910,0.04302223300453152,-0.99907411510223,-0.042982399368724285,0.0018509125326962013,0.9981490874673039,0.8718391340895788,16.682644175329884
2021-05-16,1,1,14,52,917,-0.0773864792334636,-0.9970011699250151,0.0771544103321411,0.005988667168151294,0.9940113328318488,0.7762201396359931,17.515417139501018
2021-05-23,1,1,15,51,924,-0.1966728897935766,-0.980469160361632,0.19283170312180384,0.03868022557975633,0.9613197744202436,0.8039992427680893,18.146533748168125
2021-05-30,1,2,15,52,931,-0.3131070409358283,-0.9497178427914311,0.2973633434803832,0.09803601908359047,0.9019639809164095,0.7887770367016008,18.526264250293753
2021-06-06,2,1,19,52,938,-0.4250003399695523,-0.9051931898913983,0.3847074134419678,0.18062528897423502,0.8193747110257651,0.9954362103291813,18.624930028974028
